group_col,group,n,acc,acc_lo,acc_hi,macro_f1,acc_gap_vs_min,acc_gap_vs_max
pair,20-29 | Female,105,1.0,0.9647046717431569,0.9999999999999998,0.3333333333333333,0.0,0.0
pair,20-29 | Male,90,1.0,0.9590629315783191,0.9999999999999999,0.3333333333333333,0.0,0.0
pair,30-39 | Female,102,1.0,0.9637042523922542,1.0,0.3333333333333333,0.0,0.0
pair,30-39 | Male,105,1.0,0.9647046717431569,0.9999999999999998,0.3333333333333333,0.0,0.0
pair,40-49 | Female,95,1.0,0.9611337736337738,1.0,0.3333333333333333,0.0,0.0
pair,40-49 | Male,99,1.0,0.9626454664260378,1.0,0.3333333333333333,0.0,0.0
pair,50-59 | Female,91,1.0,0.959494567784601,1.0,0.3333333333333333,0.0,0.0
pair,50-59 | Male,91,1.0,0.959494567784601,1.0,0.3333333333333333,0.0,0.0
pair,60-69 | Female,91,1.0,0.959494567784601,1.0,0.3333333333333333,0.0,0.0
pair,60-69 | Male,130,1.0,0.9712974142568529,1.0,0.3333333333333333,0.0,0.0
