group_col,group,n,acc,acc_lo,acc_hi,macro_f1,acc_gap_vs_min,acc_gap_vs_max
pair,20-29 | Black,24,1.0,0.8620194241710247,1.0,0.3333333333333333,0.0,0.0
pair,20-29 | East Asian,41,1.0,0.9143295511310926,1.0,0.3333333333333333,0.0,0.0
pair,20-29 | Indian,35,1.0,0.9010957324106112,1.0,0.3333333333333333,0.0,0.0
pair,20-29 | Latino_Hispanic,26,1.0,0.8712669561953784,1.0,0.3333333333333333,0.0,0.0
pair,20-29 | Middle Eastern,23,1.0,0.8568788745827374,1.0,0.3333333333333333,0.0,0.0
pair,20-29 | Southeast Asian,19,1.0,0.8318156346315496,1.0,0.3333333333333333,0.0,0.0
pair,20-29 | White,27,1.0,0.8754409628553641,1.0,0.3333333333333333,0.0,0.0
pair,30-39 | Black,36,1.0,0.9035781695514236,1.0,0.3333333333333333,0.0,0.0
pair,30-39 | East Asian,29,1.0,0.8830264055344442,1.0,0.3333333333333333,0.0,0.0
pair,30-39 | Indian,26,1.0,0.8712669561953784,1.0,0.3333333333333333,0.0,0.0
pair,30-39 | Latino_Hispanic,27,1.0,0.8754409628553641,1.0,0.3333333333333333,0.0,0.0
pair,30-39 | Middle Eastern,36,1.0,0.9035781695514236,1.0,0.3333333333333333,0.0,0.0
pair,30-39 | Southeast Asian,24,1.0,0.8620194241710247,1.0,0.3333333333333333,0.0,0.0
pair,30-39 | White,29,1.0,0.8830264055344442,1.0,0.3333333333333333,0.0,0.0
pair,40-49 | Black,17,1.0,0.8156763396284354,1.0,0.3333333333333333,0.0,0.0
pair,40-49 | East Asian,25,1.0,0.8668035060468213,1.0,0.3333333333333333,0.0,0.0
pair,40-49 | Indian,35,1.0,0.9010957324106112,1.0,0.3333333333333333,0.0,0.0
pair,40-49 | Latino_Hispanic,26,1.0,0.8712669561953784,1.0,0.3333333333333333,0.0,0.0
pair,40-49 | Middle Eastern,27,1.0,0.8754409628553641,1.0,0.3333333333333333,0.0,0.0
pair,40-49 | Southeast Asian,25,1.0,0.8668035060468213,1.0,0.3333333333333333,0.0,0.0
pair,40-49 | White,39,1.0,0.9103301463997611,1.0,0.3333333333333333,0.0,0.0
pair,50-59 | Black,20,1.0,0.8388698745050667,1.0,0.3333333333333333,0.0,0.0
pair,50-59 | East Asian,30,1.0,0.8864829086095221,1.0,0.3333333333333333,0.0,0.0
pair,50-59 | Indian,25,1.0,0.8668035060468213,1.0,0.3333333333333333,0.0,0.0
pair,50-59 | Latino_Hispanic,25,1.0,0.8668035060468213,1.0,0.3333333333333333,0.0,0.0
pair,50-59 | Middle Eastern,32,1.0,0.8928172849426366,1.0,0.3333333333333333,0.0,0.0
pair,50-59 | Southeast Asian,28,1.0,0.8793527963418923,1.0,0.3333333333333333,0.0,0.0
pair,50-59 | White,22,1.0,0.8513404742740388,1.0,0.3333333333333333,0.0,0.0
pair,60-69 | Black,35,1.0,0.9010957324106112,1.0,0.3333333333333333,0.0,0.0
pair,60-69 | East Asian,28,1.0,0.8793527963418923,1.0,0.3333333333333333,0.0,0.0
pair,60-69 | Indian,31,1.0,0.889740999265246,0.9999999999999999,0.3333333333333333,0.0,0.0
pair,60-69 | Latino_Hispanic,36,1.0,0.9035781695514236,1.0,0.3333333333333333,0.0,0.0
pair,60-69 | Middle Eastern,28,1.0,0.8793527963418923,1.0,0.3333333333333333,0.0,0.0
pair,60-69 | Southeast Asian,36,1.0,0.9035781695514236,1.0,0.3333333333333333,0.0,0.0
pair,60-69 | White,27,1.0,0.8754409628553641,1.0,0.3333333333333333,0.0,0.0
